,id,x,y,z,x_new,y_new,z_new,distance2Dcenter,layer,EI,mtype,info
10743,31673848943,3259928,1527192,74709,1856.1270873816056,2423.92286097051,74.709,756.1822043608156,2,inhibitory,L23I,L2neuroninterneuron
10744,31557202337,3282592,1490392,87381,1844.266597151014,2465.482765535969,87.381,744.2750261529428,2,excitatory,L23E,L2pyramidalneuron
10745,40451269189,3272760,1463464,104277,1817.7602027167443,2476.4004787624153,104.277,718.051131270904,2,excitatory,L23E,L2pyramidalneuron
10746,49011368142,3310808,1425360,95829,1815.3197386711618,2530.1927575321624,95.829,715.4202209515801,2,excitatory,L23E,L2pyramidalneuron
10747,48793097594,3293424,1424992,104277,1803.3161397135143,2517.612912856493,104.277,703.6130405961525,2,inhibitory,L23I,L2neuroninterneuron
10748,39928187768,3315056,1454720,91605,1839.8522759557331,2513.513137680945,91.605,739.8930351935336,2,excitatory,L23E,L2pyramidalneuron
10749,31746709268,3292920,1444032,74709,1817.0262156363724,2504.3913609736974,74.709,717.0843380172305,2,excitatory,L23E,L2pyramidalneuron
10750,40131536367,3306536,1449728,78933,1830.4185810753452,2510.5949421933647,78.933,730.4350558500872,2,excitatory,L23E,L2pyramidalneuron
10751,4917661328,3325136,1433520,83157,1831.0108785497205,2535.258852015245,83.157,731.0111965349373,2,excitatory,L23E,L2pyramidalneuron
10752,40146209249,3330960,1420344,83157,1825.2183712306305,2548.4487273352884,83.157,725.2186917556768,2,excitatory,L23E,L2pyramidalneuron
10753,48851413790,3336752,1397760,95829,1812.4618095478156,2567.964220002207,95.829,712.5626948402341,2,excitatory,L23E,L2pyramidalneuron
10754,40552878128,3337472,1406760,91605,1819.589102435057,2562.421648748764,91.605,719.6310093612643,2,inhibitory,L23I,L2neuroninterneuron
10755,57280367834,3341320,1413008,100053,1826.796619566506,2561.04458491587,100.053,726.9774585927244,2,excitatory,L23E,L2pyramidalneuron
10756,57469698614,3348104,1407208,112725,1827.094974770392,2569.964990745894,112.725,727.6685459475451,2,excitatory,L23E,L2pyramidalneuron
10757,57017811660,3368960,1388696,121173,1827.5095980804504,2597.8485874922026,121.173,728.4669210347515,2,excitatory,L23E,L2pyramidalneuronbipolar
10758,31353591502,3336872,1389144,125397,1806.1847779455409,2573.8675013155134,125.397,707.4065461468905,2,excitatory,L23E,L2pyramidalneuron
10759,49331640536,3356400,1433656,121173,1852.210552979059,2558.237755298257,121.173,753.1364788374908,2,inhibitory,L23I,L2neuroninterneuron
10760,49142192943,3346944,1416496,121173,1833.1660254635785,2562.840744295864,121.173,734.1159721983531,2,inhibitory,L23I,L2neuroninterneuronsparsely-spiny
10761,39781928523,3320688,1343128,116949,1761.3059386715513,2592.9799029809096,116.949,662.1342971256865,2,excitatory,L23E,L2pyramidalneuron
10762,40160315610,3306656,1357160,121173,1762.1907350056467,2573.155393316175,121.173,663.2423458058081,2,excitatory,L23E,L2pyramidalneuron
10763,48952876373,3280720,1349048,121173,1738.7010580099945,2559.4909974407647,121.173,639.7912794386609,2,excitatory,L23E,L2pyramidalneuron
10764,39927399749,3277952,1330216,116949,1722.9362783253741,2570.1576637191947,116.949,623.8155895468894,2,excitatory,L23E,L2pyramidalneuron
10765,57221392433,3256864,1324608,112725,1704.5661791678065,2558.3808702277074,112.725,605.2558759885095,2,excitatory,L23E,L2pyramidalneuron
10766,39330598104,3297264,1313064,108501,1723.3124801265924,2595.984063394812,108.501,623.8001844948542,2,excitatory,L23E,L2pyramidalneuron
10767,39942001435,3286536,1308576,100053,1712.760576979006,2591.096378056745,100.053,612.9750596788422,2,excitatory,L23E,L2pyramidalneuron
10768,40261894729,3289160,1298344,104277,1706.9809371842362,2599.938038751586,104.277,607.3249349569775,2,inhibitory,L23I,L2neuroninterneuronsparsely-spiny
10769,48152580975,3268248,1295536,100053,1690.795823999549,2586.4014690532144,100.053,591.0182778425233,2,excitatory,L23E,L2pyramidalneuron
10770,39446851724,3274624,1314536,95829,1709.1195278968526,2578.2838800340573,95.829,609.2375261579945,2,excitatory,L23E,L2pyramidalneuron
